age_tuned;ISOBENd13cLOESSsmooth;ISOBENd18oLOESSsmooth
0.966;-0.780;4.216
0.968;-0.795;4.460
0.970;-0.660;4.521
0.972;-0.493;4.506
0.974;-0.393;4.404
0.976;-0.336;4.271
0.978;-0.360;4.165
0.980;-0.421;4.087
0.982;-0.521;4.087
0.984;-0.618;4.121
0.986;-0.646;4.195
0.988;-0.642;4.278
0.990;-0.616;4.332
0.992;-0.558;4.356
0.994;-0.436;4.328
0.996;-0.310;4.273
0.998;-0.197;4.163
1.000;-0.125;4.063
1.002;-0.190;4.038
1.004;-0.326;4.085
1.006;-0.452;4.160
1.008;-0.439;4.232
1.010;-0.402;4.295
1.012;-0.377;4.327
1.014;-0.346;4.329
1.016;-0.348;4.269
1.018;-0.342;4.179
1.020;-0.257;4.061
1.022;-0.161;3.954
1.024;-0.096;3.903
1.026;-0.070;3.892
1.028;-0.150;3.941
1.030;-0.250;4.035
1.032;-0.321;4.201
1.034;-0.366;4.382
1.036;-0.318;4.533
1.038;-0.257;4.644
1.040;-0.251;4.651
1.042;-0.271;4.625
1.044;-0.280;4.605
1.046;-0.332;4.587
1.048;-0.533;4.597
1.050;-0.753;4.602
1.052;-0.943;4.594
1.054;-1.063;4.559
1.056;-0.949;4.451
1.058;-0.762;4.319
1.060;-0.617;4.189
1.062;-0.476;4.061
1.064;-0.343;3.959
1.066;-0.229;3.865
1.068;-0.145;3.754
1.070;-0.091;3.664
1.072;-0.064;3.615
1.074;-0.085;3.667
1.076;-0.104;3.755
1.078;-0.059;3.850
1.080;-0.014;3.952
1.082;0.015;4.039
1.084;0.009;4.119
1.086;-0.101;4.192
1.088;-0.252;4.243
1.090;-0.426;4.228
1.092;-0.589;4.213
1.094;-0.702;4.255
1.096;-0.786;4.317
1.098;-0.839;4.422
1.100;-0.834;4.503
1.102;-0.721;4.478
1.104;-0.557;4.390
1.106;-0.400;4.280
1.108;-0.371;4.219
1.110;-0.370;4.173
1.112;-0.335;4.117
1.114;-0.314;4.082
1.116;-0.285;4.095
1.118;-0.304;4.161
1.120;-0.492;4.352
1.122;-0.707;4.548
1.124;-0.873;4.649
1.126;-0.989;4.695
1.128;-0.976;4.635
1.130;-0.890;4.554
1.132;-0.715;4.556
1.134;-0.541;4.551
1.136;-0.402;4.494
1.138;-0.460;4.386
1.140;-0.594;4.277
1.142;-0.820;4.247
1.144;-1.009;4.238
1.146;-0.954;4.235
1.148;-0.825;4.222
1.150;-0.684;4.168
1.152;-0.532;4.098
1.154;-0.439;4.011
1.156;-0.346;3.923
1.158;-0.167;3.857
1.160;0.003;3.809
1.162;0.074;3.780
1.164;0.085;3.763
1.166;-0.018;3.764
1.168;-0.133;3.782
1.170;-0.148;3.823
1.172;-0.132;3.866
1.174;-0.073;3.888
1.176;-0.022;3.901
1.178;-0.043;3.877
1.180;-0.084;3.860
1.182;-0.117;3.875
1.184;-0.170;3.942
1.186;-0.271;4.132
1.188;-0.395;4.353
1.190;-0.554;4.576
1.192;-0.700;4.762
1.194;-0.771;4.806
1.196;-0.817;4.801
1.198;-0.856;4.786
1.200;-0.867;4.747
1.202;-0.842;4.698
1.204;-0.774;4.639
1.206;-0.702;4.557
1.208;-0.663;4.391
1.210;-0.624;4.216
1.212;-0.606;4.095
1.214;-0.585;4.016
1.216;-0.510;4.044
1.218;-0.426;4.086
1.220;-0.359;4.052
1.222;-0.298;3.997
1.224;-0.240;3.953
1.226;-0.183;3.908
1.228;-0.098;3.856
1.230;-0.035;3.797
1.232;-0.009;3.699
1.234;-0.063;3.612
1.236;-0.328;3.597
1.238;-0.637;3.623
1.240;-0.906;3.670
1.242;-1.141;3.775
1.244;-1.234;4.015
1.246;-1.269;4.281
1.248;-1.304;4.527
1.250;-1.325;4.733
1.252;-1.349;4.806
1.254;-1.365;4.796
1.256;-1.375;4.696
1.258;-1.343;4.557
1.260;-1.212;4.394
1.262;-1.039;4.244
1.264;-0.827;4.199
1.266;-0.634;4.184
1.268;-0.554;4.166
1.270;-0.483;4.143
1.272;-0.414;4.113
1.274;-0.271;4.049
1.276;-0.133;3.978
1.278;-0.045;3.898
1.280;-0.017;3.845
1.282;-0.106;3.882
1.284;-0.222;3.953
1.286;-0.318;4.057
1.288;-0.438;4.167
1.290;-0.579;4.246
1.292;-0.708;4.305
1.294;-0.825;4.327
1.296;-0.923;4.322
1.298;-0.970;4.274
1.300;-0.974;4.227
1.302;-0.937;4.238
1.304;-0.865;4.246
1.306;-0.719;4.210
1.308;-0.566;4.154
1.310;-0.488;4.057
1.312;-0.434;3.970
1.314;-0.385;3.946
1.316;-0.362;3.963
1.318;-0.372;4.041
1.320;-0.400;4.141
1.322;-0.448;4.241
1.324;-0.521;4.340
1.326;-0.612;4.416
1.328;-0.724;4.458
1.330;-0.894;4.442
1.332;-1.053;4.399
1.334;-1.176;4.316
1.336;-1.173;4.252
1.338;-1.088;4.190
1.340;-0.875;4.115
1.342;-0.634;4.048
1.344;-0.454;4.017
1.346;-0.309;3.990
1.348;-0.232;3.977
1.350;-0.184;3.945
1.352;-0.156;3.816
1.354;-0.158;3.667
1.356;-0.207;3.526
1.358;-0.250;3.429
1.360;-0.217;3.470
1.362;-0.180;3.576
1.364;-0.161;3.726
1.366;-0.166;3.879
1.368;-0.262;3.972
1.370;-0.341;4.064
1.372;-0.412;4.148
1.374;-0.433;4.228
1.376;-0.457;4.302
1.378;-0.543;4.385
1.380;-0.609;4.444
1.382;-0.591;4.457
1.384;-0.540;4.423
1.386;-0.451;4.294
1.388;-0.345;4.134
1.390;-0.273;3.973
1.392;-0.205;3.837
1.394;-0.083;3.813
1.396;0.026;3.816
1.398;0.049;3.770
1.400;0.031;3.734
1.402;-0.036;3.697
1.404;-0.072;3.798
1.406;-0.133;3.950
1.408;-0.264;4.151
1.410;-0.414;4.336
1.412;-0.604;4.404
1.414;-0.785;4.415
1.416;-0.856;4.381
1.418;-0.864;4.314
1.420;-0.834;4.215
1.422;-0.784;4.103
1.424;-0.716;4.001
1.426;-0.629;3.899
1.428;-0.503;3.839
1.430;-0.364;3.767
1.432;-0.247;3.591
1.434;-0.170;3.418
1.436;-0.165;3.320
1.438;-0.192;3.263
1.440;-0.248;3.299
1.442;-0.324;3.366
1.444;-0.392;3.341
1.446;-0.500;3.343
1.448;-0.742;3.495
1.450;-0.955;3.714
1.452;-0.993;4.034
1.454;-0.970;4.348
1.456;-0.863;4.530
1.458;-0.731;4.624
1.460;-0.708;4.585
1.462;-0.683;4.485
1.464;-0.536;4.334
1.466;-0.376;4.172
1.468;-0.288;4.052
1.470;-0.253;4.001
1.472;-0.232;3.967
1.474;-0.150;3.927
1.476;-0.067;3.883
1.478;-0.009;3.805
1.480;0.020;3.710
1.482;-0.003;3.605
1.484;-0.039;3.505
1.486;-0.067;3.411
1.488;-0.104;3.340
1.490;-0.140;3.342
1.492;-0.180;3.382
1.494;-0.248;3.452
1.496;-0.318;3.526
1.498;-0.363;3.567
1.500;-0.397;3.590
1.502;-0.436;3.560
1.504;-0.447;3.542
1.506;-0.392;3.597
1.508;-0.298;3.685
1.510;-0.130;3.838
1.512;0.025;3.981
1.514;0.056;4.025
1.516;0.040;4.029
1.518;-0.024;3.974
1.520;-0.095;3.904
1.522;-0.095;3.858
1.524;-0.109;3.858
1.526;-0.226;3.975
1.528;-0.378;4.111
1.530;-0.537;4.225
1.532;-0.692;4.304
1.534;-0.839;4.247
1.536;-0.937;4.235
1.538;-0.958;4.213
1.540;-0.825;4.182
1.542;-0.644;4.142
1.544;-0.406;4.051
1.546;-0.216;3.966
1.548;-0.254;3.975
1.550;-0.380;4.021
1.552;-0.632;4.095
1.554;-0.854;4.159
1.556;-0.832;4.158
1.558;-0.695;4.112
1.560;-0.374;3.988
1.562;-0.050;3.862
1.564;0.056;3.774
1.566;0.083;3.742
1.568;0.072;3.855
1.570;0.014;4.009
1.572;-0.117;4.175
1.574;-0.242;4.327
1.576;-0.282;4.383
1.578;-0.295;4.386
1.580;-0.240;4.341
1.582;-0.180;4.268
1.584;-0.239;4.167
1.586;-0.316;4.070
1.588;-0.333;4.023
1.590;-0.335;4.001
1.592;-0.336;4.016
1.594;-0.329;4.043
1.596;-0.326;4.063
1.598;-0.296;4.072
1.600;-0.186;4.067
1.602;-0.051;3.990
1.604;0.069;3.900
1.606;0.093;3.815
1.608;0.072;3.750
1.610;0.022;3.754
1.612;-0.049;3.791
1.614;-0.165;3.861
1.616;-0.267;3.933
1.618;-0.270;3.985
1.620;-0.239;4.013
1.622;-0.151;3.970
1.624;-0.077;3.926
1.626;-0.162;3.960
1.628;-0.297;4.008
1.630;-0.426;4.068
1.632;-0.490;4.091
1.634;-0.373;3.989
1.636;-0.205;3.846
1.638;-0.034;3.708
1.640;-0.014;3.666
1.642;-0.053;3.679
1.644;-0.091;3.748
1.646;-0.141;3.869
1.648;-0.196;4.092
1.650;-0.260;4.309
1.652;-0.360;4.427
1.654;-0.455;4.481
1.656;-0.496;4.398
1.658;-0.515;4.297
1.660;-0.521;4.301
1.662;-0.501;4.319
1.664;-0.445;4.331
1.666;-0.394;4.350
1.668;-0.360;4.355
1.670;-0.369;4.380
1.672;-0.370;4.390
1.674;-0.280;4.319
1.676;-0.174;4.215
1.678;-0.070;4.099
1.680;-0.003;3.989
1.682;-0.061;3.903
1.684;-0.160;3.841
1.686;-0.253;3.823
1.688;-0.333;3.823
1.690;-0.371;3.842
1.692;-0.402;3.862
1.694;-0.441;3.823
1.696;-0.509;3.799
1.698;-0.625;3.837
1.700;-0.729;3.923
1.702;-0.842;4.147
1.704;-0.922;4.362
1.706;-0.849;4.425
1.708;-0.724;4.405
1.710;-0.574;4.251
1.712;-0.434;4.055
1.714;-0.420;3.879
1.716;-0.450;3.731
1.718;-0.480;3.658
1.720;-0.496;3.651
1.722;-0.451;3.785
1.724;-0.423;3.939
1.726;-0.493;4.009
1.728;-0.544;4.036
1.730;-0.498;3.940
1.732;-0.436;3.841
1.734;-0.328;3.819
1.736;-0.296;3.977
1.738;-0.320;4.164
1.740;-0.431;4.304
1.742;-0.522;4.409
1.744;-0.505;4.382
1.746;-0.473;4.296
1.748;-0.445;4.224
1.750;-0.433;4.150
1.752;-0.525;4.054
1.754;-0.595;3.918
1.756;-0.484;3.715
1.758;-0.359;3.523
1.760;-0.344;3.372
1.762;-0.342;3.282
1.764;-0.331;3.358
1.766;-0.319;3.476
1.768;-0.247;3.548
1.770;-0.183;3.604
1.772;-0.220;3.624
1.774;-0.291;3.628
1.776;-0.355;3.584
1.778;-0.435;3.563
1.780;-0.554;3.650
1.782;-0.663;3.773
1.784;-0.719;3.923
1.786;-0.782;4.090
1.788;-0.906;4.269
1.790;-0.981;4.410
1.792;-0.894;4.470
1.794;-0.787;4.471
1.796;-0.693;4.328
1.798;-0.652;4.151
1.800;-0.897;4.020
1.802;-1.001;3.989
1.804;-1.012;3.986
1.806;-0.747;3.998
1.808;-0.454;4.002
1.810;-0.284;3.911
1.812;-0.226;3.817
1.814;-0.477;3.791
1.816;-0.764;3.795
1.818;-0.903;3.850
1.820;-0.953;3.909
1.822;-0.782;3.876
